instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_of_day
1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Night
2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Night
3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Night
4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Night
5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Night
6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Night
7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Morning
8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Morning
9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Morning
10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Morning
11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Morning
12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Morning
13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Afternoon
14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Afternoon
15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Afternoon
16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Afternoon
17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Afternoon
18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Afternoon
19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Evening
20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Evening
21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Evening
22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Evening
